States,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pennsylvania,"1,27,02,379","1,27,02,868","1,27,11,160","1,27,45,815","1,27,67,118","1,27,76,309","1,27,88,313","1,27,84,826","1,27,82,275","1,27,87,641","1,28,00,922","1,28,01,989"
Rhode Island,"10,52,567","10,52,964","10,53,959","10,53,649","10,54,621","10,55,081","10,55,936","10,56,065","10,56,770","10,55,673","10,58,287","10,59,361"
South Carolina,"46,25,364","46,25,366","46,35,649","46,71,994","47,17,354","47,64,080","48,23,617","48,91,938","49,57,968","50,21,268","50,84,156","51,48,714"
South Dakota,"8,14,180","8,14,198","8,16,166","8,23,579","8,33,566","8,42,316","8,49,129","8,53,988","8,62,996","8,72,868","8,78,698","8,84,659"
Tennessee,"63,46,105","63,46,276","63,55,311","63,99,291","64,53,898","64,94,340","65,41,223","65,91,170","66,46,010","67,08,799","67,71,631","68,29,174"
Texas,"2,51,45,561","2,51,46,091","2,52,41,971","2,56,45,629","2,60,84,481","2,64,80,266","2,69,64,333","2,74,70,056","2,79,14,410","2,82,95,273","2,86,28,666","2,89,95,881"
Utah,"27,63,885","27,63,891","27,75,332","28,14,384","28,53,375","28,97,640","29,36,879","29,81,835","30,41,868","31,01,042","31,53,550","32,05,958"
Vermont,"6,25,741","6,25,737","6,25,879","6,27,049","6,26,090","6,26,210","6,25,214","6,25,216","6,23,657","6,24,344","6,24,358","6,23,989"
Virginia,"80,01,024","80,01,049","80,23,699","81,01,155","81,85,080","82,52,427","83,10,993","83,61,808","84,10,106","84,63,587","85,01,286","85,35,519"
Washington,"67,24,540","67,24,540","67,42,830","68,26,627","68,97,058","69,63,985","70,54,655","71,63,657","72,94,771","74,23,362","75,23,869","76,14,893"
West Virginia,"18,52,994","18,53,018","18,54,239","18,56,301","18,56,872","18,53,914","18,49,489","18,42,050","18,31,023","18,17,004","18,04,291","17,92,147"
Wisconsin,"56,86,986","56,87,285","56,90,475","57,05,288","57,19,960","57,36,754","57,51,525","57,60,940","57,72,628","57,90,186","58,07,406","58,22,434"
Wyoming,"5,63,626","5,63,775","5,64,487","5,67,299","5,76,305","5,82,122","5,82,531","5,85,613","5,84,215","5,78,931","5,77,601","5,78,759"
Puerto Rico,"37,25,789","37,26,157","37,21,525","36,78,732","36,34,488","35,93,077","35,34,874","34,73,232","34,06,672","33,25,286","31,93,354","31,93,694"
